Barcode	PopID	CrossNum	Indiv	Origin	Exp	Trt	Rack	Pos	LfCount2	LfLgth2	LfWdth2	comment
296	SERG-3-3	SERG	3	3	SK	ass map	control	20	12	11	17.1	5.9	BLT TWNTY FOR P FIVE
297	SERG-3-4	SERG	3	4	SK	ass map	control	18	45	9	14	3.4	
298	SERG-3-5	SERG	3	5	SK	ass map	control	21	5	20	15.3	3.7	
299	SERG-3-6	SERG	3	6	SK	ass map	control	21	8	14	13.3	3.6	
300	SERG-3-7	SERG	3	7	SK	ass map	control	17	11	6	12.4	3.2	BOLT TWENTY FOUR P EIGHT
301	SERG-3-8	SERG	3	8	SK	ass map	control	14	5	15	13.1	3.7	BLT ELEVN P FIVE
302	SERG-3-9	SERG	3	9	SK	ass map	control	12	1	16	15.5	5.6	
303	TR001-10-3	TR001	10	3	nat	mat fx	nut def	11	16	18	13	3.2	
304	TR001-10-4	TR001	10	4	nat	mat fx	cut	8	21	17	0	0	
305	TR001-2-1	TR001	2	1	nat	mat fx	cut	8	47	13	0	0	
306	TR001-2-2	TR001	2	2	nat	mat fx	nut def	11	18	12	18.5	2.4	
307	TR001-3-1	TR001	3	1	nat	mat fx	control	7	9	12	18.2	3.1	
308	TR001-5-1	TR001	5	1	nat	mat fx	nut def	11	5	15	15.3	2.7	
309	TR001-6-7	TR001	6	7	nat	mat fx	cut	8	23	20	0	0	
310	TR001-7-1	TR001	7	1	nat	ass map	control	20	1	13	18	3.4	
311	TR001-9-11	TR001	9	11	nat	ass map	control	18	25	13	20.5	5.3	
312	TR001-9-13	TR001	9	13	nat	mat fx	control	6	21	11	18.5	5.8	
313	TR001-9-18	TR001	9	18	nat	mat fx	control	7	3	10	16.5	3.7	
314	TR001-9-23	TR001	9	23	nat	mat fx	control	7	49	13	14.7	2.8	
315	TR001-9-4	TR001	9	4	nat	ass map	control	21	10	17	21	3.5	
316	TR001-9-6	TR001	9	6	nat	mat fx	control	7	20	11	14.8	3.7	
317	TR001-9-8	TR001	9	8	nat	ass map	control	15	20	14	20.4	4.3	
318	TR001-9-9	TR001	9	9	nat	mat fx	control	7	36	12	16.3	3	BLT 29.7
319	US001-10-1	US001	10	1	inv	ass map	control	22	29	10	28.2	6.9	
320	US001-10-3	US001	10	3	inv	mat fx	control	6	40	10	18.9	5	
321	US001-10-4	US001	10	4	inv	mat fx	control	6	45	10	16.7	5.2	
322	US001-10-5	US001	10	5	inv	mat fx	control	7	7	9	16.2	3.8	
